chord_set_id,position,chord_value
3,25,ect
3,26,rea
3,27,com
3,28,eve
3,29,per
3,30,int
3,31,est
3,32,sta
3,33,cti
3,34,ica
3,35,ist
3,36,ear
3,37,ain
3,38,iti
3,39,rat
3,40,nte
3,41,tin
3,42,ine
3,43,der
3,44,ome
3,45,man
3,46,pre
3,47,rom
3,48,tra
3,49,whi
3,50,ave
3,51,str
3,52,act
3,53,ill
3,54,ure
3,55,ide
3,56,ove
3,57,cal
3,58,ble
3,59,sti
3,60,tic
3,61,oun
3,62,enc
3,63,ore
3,64,ant
3,65,ity
3,66,fro
3,67,art
3,68,tur
3,69,par
3,70,red
3,71,oth
4,0,tion
4,1,atio
4,2,ther
4,3,ment
4,4,ions
4,5,ould
4,6,ting
4,7,hich
4,8,whic
4,9,ctio
4,10,ence
4,11,othe
4,12,ight
4,13,sion
4,14,ever
4,15,ical
4,16,inte
4,17,ough
4,18,ance
4,19,tive
4,20,over
4,21,ding
4,22,pres
4,23,nter
4,24,comp
4,25,able
4,26,heir
4,27,thei
4,28,ally
4,29,ated
4,30,ring
4,31,ture
4,32,cont
4,33,ents
4,34,cons
4,35,rati
4,36,thin
4,37,part
4,38,form
4,39,ning
4,40,ecti
4,41,port
4,42,enti
4,43,onal
4,44,itio
4,45,hing
4,46,ound
4,47,reat
4,48,comm
4,49,nder
4,50,emen
4,51,iona
4,52,stat
4,53,stan
4,54,king
4,55,ress
4,56,thou
4,57,acti
4,58,lati
4,59,them
4,60,spec
4,61,very
4,62,side
4,63,thes
4,64,woul
4,65,tain
4,66,nati
4,67,rate
4,68,cent
4,69,ount
4,70,rese
4,71,sing
5,0,ть
5,1,ат
5,2,ый
5,3,ст
5,4,ен
5,5,ит
5,6,ны
5,7,ов
5,8,ва
5,9,од
5,10,то
5,11,ра
5,12,ве
5,13,ол
5,14,ий
5,15,ре
5,16,ся
5,17,ро
5,18,ьс
5,19,ме
5,20,ак
5,21,ел
5,22,ие
5,23,ти
5,24,ыт
5,25,ал
5,26,ло
5,27,ма
5,28,ки
5,29,ск
5,30,те
5,31,ри
5,32,та
5,33,ис
5,34,ви
5,35,ав
5,36,пе
5,37,нн
5,38,ог
5,39,ед
5,40,тв
5,41,оч
5,42,че
5,43,ру
5,44,ия
5,45,кр
5,46,ьн
5,47,зн
5,48,ры
5,49,им
5,50,се
5,51,тр
5,52,бе
5,53,нь
5,54,ят
5,55,ем
5,56,ев
5,57,вн
5,58,ич
5,59,ча
5,60,жи
5,61,ут
5,62,тн
5,63,сь
5,64,др
5,65,ег
5,66,ид
5,67,бр
5,68,ач
5,69,гр
5,70,нт
5,71,чи
6,0,ть
6,1,ат
6,2,ый
6,3,ст
6,4,ать
6,5,ен
6,6,ит
6,7,ны
6,8,ный
6,9,ов
6,10,ва
6,11,од
6,12,то
6,13,ра
6,14,ве
6,15,ол
6,16,ий
6,17,ре
6,18,ся
6,19,ро
6,20,ьс
6,21,ме
6,22,ься
6,23,тьс
6,24,ак
6,25,ел
6,26,ие
6,27,ти
6,28,ыт
6,29,ал
6,30,ыть
6,31,ло
6,32,ма
6,33,ки
6,34,ск
6,35,те
6,36,ние
6,37,ри
6,38,ват
6,39,та
6,40,ис
6,41,ви
6,42,ав
6,43,пе
6,44,нн
6,45,ог
6,46,ед
6,47,тв
6,48,ени
6,49,ест
6,50,тор
6,51,оч
6,52,че
6,53,ру
6,54,ия
6,55,кр
6,56,льн
6,57,ьн
6,58,ств
6,59,зн
6,60,ры
6,61,им
6,62,се
6,63,тр
6,64,бе
6,65,пер
6,66,енн
6,67,нь
6,68,ани
6,69,ят
6,70,ере
6,71,ем
7,0,ать
7,1,ный
7,2,ься
7,3,тьс
7,4,ыть
7,5,ние
7,6,ват
7,7,ени
7,8,ест
7,9,тор
7,10,льн
7,11,ств
7,12,пер
7,13,енн
7,14,ани
7,15,ере
7,16,ова
7,17,сть
7,18,ски
7,19,нны
7,20,оди
7,21,оль
7,22,вый
7,23,рый
7,24,тел
7,25,оры
7,26,есь
7,27,ять
7,28,оро
7,29,нов
7,30,дел
7,31,ень
7,32,ина
7,33,еть
7,34,ово
7,35,ста
7,36,тво
7,37,бол
7,38,зна
7,39,ьны
7,40,сто
7,41,вер
7,42,мен
7,43,аст
7,44,ако
7,45,ори
7,46,сти
7,47,руг
7,48,рат
7,49,оло
7,50,рит
7,51,нат
7,52,уть
7,53,ров
7,54,жен
7,55,очь
7,56,стр
7,57,дру
7,58,гда
7,59,нач
7,60,чат
7,61,ист
7,62,дат
7,63,тит
7,64,тер
7,65,тве
7,66,ыва
7,67,ция
7,68,нно
7,69,ите
7,70,моч
7,71,ате
8,0,ться
8,1,вать
8,2,атьс
8,3,ение
8,4,ский
8,5,нный
8,6,отор
8,7,тель
8,8,кото
8,9,торы
8,10,орый
8,11,пере
8,12,итьс
8,13,льны
8,14,ьный
8,15,ство
8,16,ание
8,17,ност
8,18,оват
8,19,енны
8,20,нуть
8,21,ельн
8,22,рить
8,23,альн
8,24,ыват
8,25,огда
8,26,чать
8,27,тный
8,28,тить
8,29,льно
8,30,енно
8,31,овор
8,32,нать
8,33,гово
8,34,овый
8,35,когд
8,36,оста
8,37,еств
8,38,орит
8,39,врем
8,40,ител
8,41,дить
8,42,ольш
8,43,венн
8,44,вори
8,45,можн
8,46,ремя
8,47,ация
8,48,обра
8,49,мест
8,50,иват
8,51,тать
8,52,руго
8,53,лени
8,54,ожно
8,55,ичес
8,56,чный
8,57,ески
8,58,твен
8,59,ести
8,60,стве
8,61,угой
8,62,ческ
8,63,ател
8,64,еред
8,65,знат
8,66,иров
8,67,вани
8,68,коне
8,69,стат
8,70,жный
8,71,зать
9,0,tion
9,1,atio
9,2,ation
9,3,ther
9,4,ment
9,5,ions
9,6,tions
9,7,ould
9,8,ting
9,9,hich
9,10,whic
9,11,ctio
9,12,ction
9,13,ence
9,14,othe
9,15,ight
9,16,sion
9,17,ever
9,18,ical
9,19,inte
9,20,ough
9,21,ance
9,22,tive
9,23,over
9,24,ding
9,25,pres
9,26,nter
9,27,comp
9,28,able
9,29,heir
9,30,thei
9,31,ally
9,32,ated
9,33,ring
9,34,ture
9,35,cont
9,36,ents
9,37,cons
9,38,rati
9,39,thin
9,40,part
9,41,form
9,42,ning
9,43,ecti
9,44,port
9,45,enti
9,46,onal
9,47,itio
9,48,hing
9,49,ound
9,50,ition
9,51,reat
9,52,comm
9,53,nder
9,54,emen
9,55,iona
9,56,stat
9,57,ement
9,58,stan
9,59,king
9,60,inter
9,61,ress
9,62,thou
9,63,acti
9,64,lati
9,65,them
9,66,ional
9,67,ratio
9,68,spec
9,69,very
9,70,side
9,71,thes
10,0,ation
10,1,tions
10,2,ction
10,3,ations
10,4,ition
10,5,ement
10,6,inter
10,7,ional
10,8,ratio
10,9,ration
10,10,tiona
10,11,tional
10,12,state
10,13,natio
10,14,nation
10,15,thing
10,16,under
10,17,ssion
10,18,ectio
10,19,ection
10,20,catio
10,21,cation
10,22,latio
10,23,lation
10,24,count
10,25,ments
10,26,rough
10,27,ative
10,28,prese
10,29,feren
10,30,hough
10,31,ution
10,32,roduc
10,33,resen
10,34,thoug
10,35,though
10,36,press
10,37,after
10,38,presen
10,39,cause
10,40,where
10,41,tatio
10,42,tation
10,43,could
10,44,efore
10,45,contr
10,46,hould
10,47,shoul
10,48,should
10,49,tical
10,50,gener
10,51,esent
10,52,resent
10,53,great
10,54,speci
10,55,present
10,56,enera
10,57,genera
10,58,ditio
10,59,dition
10,60,relat
10,61,ities
10,62,ffere
10,63,ctive
10,64,ationa
10,65,icati
10,66,ational
10,67,nding
10,68,produ
10,69,produc
10,70,ature
10,71,hroug
11,0,ться
11,1,вать
11,2,атьс
11,3,аться
11,4,ение
11,5,ский
11,6,нный
11,7,отор
11,8,тель
11,9,кото
11,10,котор
11,11,торы
11,12,оторы
11,13,орый
11,14,торый
11,15,пере
11,16,итьс
11,17,иться
11,18,льны
11,19,льный
11,20,ьный
11,21,ство
11,22,ание
11,23,ност
11,24,оват
11,25,енны
11,26,енный
11,27,нуть
11,28,ность
11,29,овать
11,30,ельн
11,31,рить
11,32,альн
11,33,ыват
11,34,ывать
11,35,тельн
11,36,ватьс
11,37,огда
11,38,чать
11,39,тный
11,40,тить
11,41,льно
11,42,енно
11,43,овор
11,44,нать
11,45,гово
11,46,овый
11,47,когд
11,48,оста
11,49,еств
11,50,орит
11,51,врем
11,52,ител
11,53,итель
11,54,орить
11,55,дить
11,56,ольш
11,57,больш
11,58,венн
11,59,вори
11,60,ворит
11,61,можн
11,62,овори
11,63,ремя
11,64,ация
11,65,обра
11,66,альны
11,67,мест
11,68,иват
11,69,ивать
11,70,тать
11,71,руго
12,0,аться
12,1,котор
12,2,которы
12,3,оторы
12,4,оторый
12,5,торый
12,6,иться
12,7,льный
12,8,енный
12,9,ность
12,10,овать
12,11,ывать
12,12,тельн
12,13,ватьс
12,14,ваться
12,15,итель
12,16,орить
12,17,больш
12,18,ворит
12,19,ворить
12,20,говори
12,21,овори
12,22,говорит
12,23,оворит
12,24,оворить
12,25,альны
12,26,ивать
12,27,альный
12,28,твенн
12,29,друго
12,30,ствен
12,31,ственн
12,32,ругой
12,33,чески
12,34,атель
12,35,ельны
12,36,ельный
12,37,вание
12,38,еский
12,39,ческий
12,40,ление
12,41,ическ
12,42,ически
12,43,венны
12,44,венный
12,45,одить
12,46,ительн
12,47,ический
12,48,ельно
12,49,первы
12,50,твенны
12,51,твенный
12,52,ственны
12,53,ственный
12,54,тельно
12,55,казат
12,56,тельны
12,57,тельный
12,58,ество
12,59,ирова
12,60,азать
12,61,ервый
12,62,авать
12,63,яться
12,64,роват
12,65,нский
12,66,овани
12,67,ование
12,68,ровать
12,69,авить
12,70,писат
12,71,затьс
